Year,Month,Account_Code,Account_Name,Account_Class,Total_Amount
2020,8,ACC100590,Account_590,Equity,357273.37
2020,7,ACC100710,Account_710,Asset,494473.69
2023,2,ACC101633,Account_1633,Equity,3437.81
2021,5,ACC100629,Account_629,Revenue,446359.77
2021,6,ACC100689,Account_689,Equity,88393.21
2023,5,ACC101215,Account_1215,Revenue,21807.59
2022,4,ACC102851,Account_2851,Expense,213219.74
2021,7,ACC101651,Account_1651,Equity,256760.1
2020,3,ACC100602,Account_602,Equity,155277.2
2021,8,ACC100866,Account_866,Equity,387667.31
2021,7,ACC101343,Account_1343,Revenue,12714.78
2022,11,ACC102252,Account_2252,Liability,114856.24
2024,1,ACC102321,Account_2321,Liability,447213.72
2021,7,ACC102858,Account_2858,Revenue,273016.78
2020,7,ACC102891,Account_2891,Asset,149340.78
2022,10,ACC101964,Account_1964,Asset,458677.14
2022,7,ACC101967,Account_1967,Liability,223730.15
2020,9,ACC101638,Account_1638,Expense,270421.73
2020,12,ACC100537,Account_537,Revenue,24690.6
2020,2,ACC102589,Account_2589,Equity,172492.05
2023,2,ACC101690,Account_1690,Revenue,368948.11
2020,6,ACC100441,Account_441,Equity,482736.63
2023,2,ACC102914,Account_2914,Revenue,56484.96
2021,5,ACC100029,Account_29,Liability,115032.24
2021,3,ACC100404,Account_404,Asset,6472.97
2020,4,ACC101559,Account_1559,Revenue,447707.59
2022,3,ACC102120,Account_2120,Equity,255049.94
2020,3,ACC102529,Account_2529,Expense,284701.95
2023,8,ACC100678,Account_678,Asset,78110.71
2021,7,ACC100898,Account_898,Asset,278144.91
2023,2,ACC100191,Account_191,Asset,301190.43
2022,4,ACC101945,Account_1945,Revenue,208440.46
2022,4,ACC100009,Account_9,Revenue,186914.36
2020,1,ACC100637,Account_637,Equity,287494.07
2021,7,ACC101421,Account_1421,Liability,112380.99
2020,2,ACC102327,Account_2327,Expense,134138.98
2023,3,ACC102038,Account_2038,Revenue,482333.79
2021,6,ACC100418,Account_418,Asset,149710.6
2021,4,ACC101417,Account_1417,Asset,204277.52
2021,4,ACC100232,Account_232,Liability,465970.91
2021,11,ACC101485,Account_1485,Expense,86188.18
2020,1,ACC100352,Account_352,Liability,113025.69
2022,1,ACC101093,Account_1093,Expense,295466.76
2023,8,ACC100287,Account_287,Asset,379098.41
2022,12,ACC100351,Account_351,Asset,4467.81
2023,4,ACC101211,Account_1211,Revenue,318515.96
2020,7,ACC102883,Account_2883,Revenue,474246.74
2021,4,ACC101869,Account_1869,Asset,183591.98
2021,3,ACC102396,Account_2396,Asset,224050.8
2023,11,ACC100128,Account_128,Revenue,152103.74
2023,12,ACC101966,Account_1966,Liability,158182.63
2020,12,ACC101216,Account_1216,Equity,272013.98
2020,8,ACC101283,Account_1283,Expense,341676.94
2020,1,ACC102900,Account_2900,Liability,466441.37
2023,5,ACC101287,Account_1287,Equity,444680.09
2023,12,ACC101615,Account_1615,Revenue,448109.12
2021,3,ACC100807,Account_807,Liability,273454.07
2021,10,ACC101264,Account_1264,Asset,379386.6
2023,6,ACC101364,Account_1364,Liability,9087.19
2020,12,ACC102454,Account_2454,Asset,100544.5
2022,1,ACC100445,Account_445,Expense,204731.85
2022,3,ACC102991,Account_2991,Revenue,302181.06
2022,2,ACC101199,Account_1199,Liability,37689.53
2022,8,ACC101467,Account_1467,Revenue,282481.63
2021,7,ACC101070,Account_1070,Equity,5383.07
2022,3,ACC102768,Account_2768,Asset,317779.91
2023,2,ACC100882,Account_882,Expense,224222.7
2020,8,ACC101770,Account_1770,Revenue,493417.66
2020,4,ACC100492,Account_492,Expense,494721.51
2020,9,ACC100660,Account_660,Liability,441415.08
2023,12,ACC100288,Account_288,Liability,455188.64
2020,1,ACC100292,Account_292,Liability,469732.55
2022,7,ACC102245,Account_2245,Liability,362011.29
2022,5,ACC101800,Account_1800,Asset,104751.85
2020,6,ACC101709,Account_1709,Expense,133992.9
2021,3,ACC101881,Account_1881,Revenue,68505.27
2021,8,ACC100185,Account_185,Liability,264445.13
2021,4,ACC100262,Account_262,Liability,455047.28
2020,8,ACC100785,Account_785,Equity,407769.8
2023,10,ACC102734,Account_2734,Revenue,56502.84
2023,8,ACC101057,Account_1057,Asset,31379.89
2021,1,ACC102109,Account_2109,Equity,246212.05
2022,11,ACC102299,Account_2299,Asset,158719.86
2023,1,ACC100269,Account_269,Expense,490426.9
2022,1,ACC102733,Account_2733,Asset,409416.4
2023,12,ACC100315,Account_315,Revenue,488754.67
2023,12,ACC102744,Account_2744,Liability,102019.5
2023,8,ACC102528,Account_2528,Equity,35609.64
2022,1,ACC102980,Account_2980,Liability,432606.75
2021,6,ACC102914,Account_2914,Revenue,347297.62
2022,3,ACC100952,Account_952,Expense,131160.45
2023,12,ACC100289,Account_289,Revenue,383026.15
2021,2,ACC102022,Account_2022,Asset,487356.38
2021,7,ACC102161,Account_2161,Revenue,245433.79
2020,11,ACC102981,Account_2981,Liability,35585.5
2021,11,ACC101374,Account_1374,Revenue,23038.78
2021,4,ACC102907,Account_2907,Revenue,112493.48
2021,9,ACC101596,Account_1596,Asset,50663.89
2023,4,ACC102704,Account_2704,Revenue,251596.34
2023,7,ACC102377,Account_2377,Equity,373021.79
2021,11,ACC101797,Account_1797,Revenue,179411.91
2020,12,ACC102414,Account_2414,Asset,143902.76
2021,3,ACC100179,Account_179,Equity,86564.78
2020,4,ACC102980,Account_2980,Liability,264397.48
2023,9,ACC102863,Account_2863,Liability,479348.26
2023,1,ACC100881,Account_881,Equity,412465.79
2023,7,ACC102402,Account_2402,Liability,266501.9
2022,9,ACC101132,Account_1132,Expense,185276.91
2021,6,ACC101670,Account_1670,Revenue,236576.41
2022,12,ACC100133,Account_133,Equity,15147.69
2021,7,ACC102324,Account_2324,Equity,134826.72
2023,8,ACC100391,Account_391,Asset,463709.61
2022,8,ACC101506,Account_1506,Liability,465291.86
2021,5,ACC102818,Account_2818,Asset,499040.35
2021,10,ACC100977,Account_977,Asset,437154.45
2022,6,ACC101550,Account_1550,Equity,108183.39
2020,10,ACC101204,Account_1204,Expense,334125.8
2024,1,ACC102071,Account_2071,Revenue,142835.48
2024,1,ACC102904,Account_2904,Expense,345657.59
2022,4,ACC100374,Account_374,Liability,223176.75
2022,10,ACC101934,Account_1934,Expense,266206.47
2023,12,ACC101797,Account_1797,Revenue,233385.61
2023,6,ACC102278,Account_2278,Liability,229326.1
2020,3,ACC101115,Account_1115,Liability,445965.48
2020,2,ACC100689,Account_689,Equity,462304.24
2020,3,ACC100484,Account_484,Asset,114828.86
2022,10,ACC100338,Account_338,Revenue,30474.91
2021,9,ACC100169,Account_169,Revenue,455125.9
2020,1,ACC102820,Account_2820,Equity,87840.34
2021,3,ACC100717,Account_717,Liability,196494.04
2021,1,ACC102785,Account_2785,Asset,482597.55
2022,4,ACC100380,Account_380,Expense,103100.75
2022,4,ACC101008,Account_1008,Expense,456425.81
2022,7,ACC102741,Account_2741,Asset,398127.91
2023,9,ACC102485,Account_2485,Expense,388626.14
2024,1,ACC100581,Account_581,Expense,412773.18
2022,6,ACC100504,Account_504,Liability,208601.5
2022,12,ACC102580,Account_2580,Equity,161383.47
2022,1,ACC100835,Account_835,Liability,126038.82
2022,4,ACC102262,Account_2262,Revenue,40877.44
2021,12,ACC101916,Account_1916,Equity,255901.02
2024,2,ACC101254,Account_1254,Asset,327709.94
2021,3,ACC100743,Account_743,Revenue,181348.99
2021,9,ACC100156,Account_156,Asset,283415.07
2020,8,ACC102668,Account_2668,Expense,219121.11
2022,5,ACC101049,Account_1049,Liability,217229.96
2020,4,ACC100221,Account_221,Liability,351015.89
2020,10,ACC100322,Account_322,Revenue,333942.79
2023,11,ACC101201,Account_1201,Equity,141863.74
2024,1,ACC102791,Account_2791,Expense,482615.85
2020,10,ACC102104,Account_2104,Revenue,68249.82
2021,4,ACC101926,Account_1926,Liability,179976.81
2021,6,ACC102318,Account_2318,Equity,117988.11
2021,4,ACC102477,Account_2477,Liability,352120.35
2023,2,ACC100311,Account_311,Asset,458804.51
2023,3,ACC100338,Account_338,Revenue,323548.4
2022,9,ACC102075,Account_2075,Expense,4081.09
2021,6,ACC100729,Account_729,Liability,337068.28
2023,2,ACC102463,Account_2463,Liability,160317.71
2021,11,ACC100109,Account_109,Revenue,441753.42
2023,1,ACC101114,Account_1114,Expense,363435.46
2023,10,ACC102168,Account_2168,Equity,375842.83
2022,6,ACC102662,Account_2662,Expense,123067.53
2022,9,ACC100979,Account_979,Asset,192672.71
2022,8,ACC101859,Account_1859,Asset,215072.86
2023,12,ACC101479,Account_1479,Expense,452688.21
2022,10,ACC102555,Account_2555,Expense,52900.94
2021,12,ACC101970,Account_1970,Revenue,173966.62
2022,8,ACC100683,Account_683,Revenue,447472.43
2022,12,ACC100285,Account_285,Revenue,152285.75
2023,12,ACC102609,Account_2609,Expense,380381.78
2022,3,ACC100137,Account_137,Liability,12585.05
2022,4,ACC100731,Account_731,Expense,37927.72
2022,3,ACC102812,Account_2812,Expense,115080.18
2020,5,ACC102013,Account_2013,Revenue,202907.85
2021,8,ACC100867,Account_867,Revenue,174462.44
2021,12,ACC102542,Account_2542,Revenue,256919.01
2023,7,ACC101619,Account_1619,Liability,279282.94
2022,7,ACC101385,Account_1385,Equity,859179.97
2022,6,ACC100852,Account_852,Expense,175833.43
2021,2,ACC100104,Account_104,Liability,190725.49
2023,11,ACC102712,Account_2712,Revenue,108960.1
2021,2,ACC100662,Account_662,Asset,364078.82
2021,9,ACC101745,Account_1745,Liability,436851.53
2022,5,ACC102857,Account_2857,Asset,4958.02
2021,4,ACC102588,Account_2588,Asset,211723.93
2021,7,ACC100163,Account_163,Liability,37634.11
2020,8,ACC101856,Account_1856,Asset,484118.92
2023,5,ACC102015,Account_2015,Liability,69998.19
2020,12,ACC100123,Account_123,Revenue,335112.21
2020,9,ACC102771,Account_2771,Liability,143952.64
2023,6,ACC100745,Account_745,Revenue,453330.34
2021,8,ACC102141,Account_2141,Equity,397168.83
2021,10,ACC100037,Account_37,Asset,322475.63
2020,11,ACC101535,Account_1535,Asset,110997.81
2021,10,ACC101845,Account_1845,Revenue,234618.84
2021,3,ACC101906,Account_1906,Expense,44934.79
2021,12,ACC101378,Account_1378,Expense,132183.3
2021,1,ACC101326,Account_1326,Liability,475682.89
2020,2,ACC100820,Account_820,Liability,406680.02
2020,8,ACC102958,Account_2958,Expense,19033.1
2022,12,ACC102382,Account_2382,Expense,228365.19
2022,7,ACC100637,Account_637,Equity,329351.28
2022,3,ACC101821,Account_1821,Equity,225507.97
2024,1,ACC102295,Account_2295,Expense,489740.96
2023,1,ACC102200,Account_2200,Expense,116265.75
2020,11,ACC100703,Account_703,Expense,26428.38
2021,3,ACC101130,Account_1130,Revenue,266742.24
2023,2,ACC100489,Account_489,Liability,359333.52
2022,5,ACC101512,Account_1512,Expense,403570.24
2020,6,ACC100835,Account_835,Liability,251927.77
2020,9,ACC102591,Account_2591,Revenue,353692.2
2022,5,ACC102453,Account_2453,Revenue,307901.36
2021,2,ACC101396,Account_1396,Liability,125996.1
2021,1,ACC101597,Account_1597,Liability,254305.19
2022,11,ACC100955,Account_955,Expense,279831.63
2020,5,ACC100964,Account_964,Equity,143607.06
2023,11,ACC101976,Account_1976,Liability,254945.68
2022,7,ACC102426,Account_2426,Equity,398910.09
2022,7,ACC100092,Account_92,Expense,122946.87
2021,6,ACC100850,Account_850,Revenue,282879.77
2021,7,ACC101008,Account_1008,Expense,271496.56
2020,5,ACC102312,Account_2312,Expense,356059.58
2021,2,ACC101549,Account_1549,Expense,30005.29
2022,12,ACC101750,Account_1750,Asset,96040.24
2023,9,ACC102985,Account_2985,Revenue,476835.41
2022,1,ACC102608,Account_2608,Equity,484297.09
2021,3,ACC101004,Account_1004,Revenue,660707.26
2022,12,ACC100231,Account_231,Revenue,210005.34
2022,4,ACC101519,Account_1519,Revenue,342065.19
2021,1,ACC100659,Account_659,Expense,281398.96
2020,11,ACC102313,Account_2313,Asset,477387.97
2021,8,ACC101448,Account_1448,Revenue,62734.36
2022,4,ACC102691,Account_2691,Equity,497235.82
2021,1,ACC101998,Account_1998,Liability,201410.94
2021,8,ACC100651,Account_651,Equity,268155.7
2022,7,ACC102696,Account_2696,Equity,468010.2
2021,5,ACC102912,Account_2912,Equity,489253.78
2023,10,ACC101148,Account_1148,Revenue,114166.92
2021,4,ACC102285,Account_2285,Liability,165020.99
2020,5,ACC100944,Account_944,Expense,298528.88
2023,12,ACC102544,Account_2544,Asset,86903.6
2020,12,ACC100614,Account_614,Expense,390598.9
2020,7,ACC100187,Account_187,Asset,343752.06
2022,8,ACC102097,Account_2097,Revenue,105230.79
2021,11,ACC102474,Account_2474,Liability,249091.5
2022,12,ACC102662,Account_2662,Expense,369567.13
2023,1,ACC101324,Account_1324,Equity,204340.82
2021,3,ACC102710,Account_2710,Asset,13379.53
2021,10,ACC100819,Account_819,Expense,270634.17
2022,4,ACC102991,Account_2991,Revenue,166150.52
2021,12,ACC101231,Account_1231,Asset,105027.74
2022,2,ACC100888,Account_888,Asset,215411.23
2023,6,ACC102948,Account_2948,Liability,5832.88
2023,7,ACC101454,Account_1454,Equity,294204.99
2021,2,ACC101467,Account_1467,Revenue,397803.78
2023,7,ACC100474,Account_474,Liability,218654.23
2023,2,ACC101668,Account_1668,Equity,189555.21
2020,2,ACC100860,Account_860,Expense,493985.51
2021,6,ACC101878,Account_1878,Liability,283284.19
2023,8,ACC100441,Account_441,Equity,45356.4
2022,5,ACC100986,Account_986,Revenue,262910.86
2024,1,ACC100234,Account_234,Equity,64268.56
2020,12,ACC102900,Account_2900,Liability,351080.08
2020,10,ACC101064,Account_1064,Asset,6759.56
2023,9,ACC100621,Account_621,Expense,13541.03
2020,1,ACC100717,Account_717,Liability,170356.47
2022,11,ACC100010,Account_10,Equity,240450.44
2020,3,ACC102511,Account_2511,Asset,156550.65
2021,10,ACC102513,Account_2513,Asset,461439.19
2021,8,ACC101154,Account_1154,Asset,496988.81
2022,5,ACC100779,Account_779,Asset,185148.06
2022,1,ACC100331,Account_331,Liability,10348.74
2020,8,ACC102356,Account_2356,Expense,276789.45
2021,5,ACC101702,Account_1702,Revenue,381232.37
2021,12,ACC100463,Account_463,Liability,99045.69
2022,2,ACC100993,Account_993,Equity,253727.5
2021,5,ACC102800,Account_2800,Equity,419106.82
2021,3,ACC100880,Account_880,Equity,92002.06
2020,2,ACC100095,Account_95,Asset,424078.48
2021,5,ACC100048,Account_48,Expense,280532.8
2023,3,ACC102080,Account_2080,Expense,340039.05
2021,1,ACC100701,Account_701,Asset,315472.04
2021,4,ACC101718,Account_1718,Liability,431214.3
2022,1,ACC100888,Account_888,Asset,274292.37
2023,9,ACC100430,Account_430,Asset,147014.87
2023,4,ACC100892,Account_892,Revenue,113211.46
2022,5,ACC102227,Account_2227,Revenue,302830.81
2023,11,ACC100691,Account_691,Expense,419019.36
2023,12,ACC102743,Account_2743,Equity,353234.8
2020,5,ACC101781,Account_1781,Asset,490983.09
2020,4,ACC102038,Account_2038,Revenue,109179.52
2023,12,ACC100205,Account_205,Liability,266536.9
2020,3,ACC101089,Account_1089,Equity,91557.47
2020,12,ACC100332,Account_332,Liability,315152.1
2023,8,ACC102863,Account_2863,Liability,470203.6
2020,12,ACC101677,Account_1677,Asset,409312.02
2020,2,ACC102773,Account_2773,Equity,210461.98
2023,11,ACC102108,Account_2108,Revenue,274151.42
2022,11,ACC102151,Account_2151,Equity,71621.95
2023,5,ACC101199,Account_1199,Liability,375801.77
2021,5,ACC100704,Account_704,Revenue,8959.31
2020,9,ACC102576,Account_2576,Asset,229462.37
2024,2,ACC100544,Account_544,Equity,317874.47
2022,10,ACC100702,Account_702,Equity,41217.14
2022,6,ACC100084,Account_84,Expense,391997.26
2020,12,ACC101317,Account_1317,Equity,432847.93
2022,9,ACC101017,Account_1017,Liability,296393.45
2022,5,ACC102762,Account_2762,Revenue,324680.99
2021,10,ACC100337,Account_337,Revenue,223809.09
2020,9,ACC100296,Account_296,Liability,281560.0
2020,4,ACC100075,Account_75,Revenue,384366.91
2022,7,ACC101770,Account_1770,Revenue,313431.14
2021,11,ACC100631,Account_631,Revenue,458966.83
2021,5,ACC101959,Account_1959,Expense,198830.69
2020,10,ACC101469,Account_1469,Liability,186484.49
2021,12,ACC100079,Account_79,Asset,406974.38
2022,6,ACC102175,Account_2175,Equity,60463.74
2023,8,ACC101378,Account_1378,Expense,497264.07
2023,11,ACC101103,Account_1103,Equity,493613.84
2022,9,ACC102959,Account_2959,Revenue,154373.33
2020,9,ACC100328,Account_328,Asset,270905.03
2020,7,ACC101508,Account_1508,Asset,450081.47
2023,2,ACC100297,Account_297,Expense,36872.57
2023,8,ACC101197,Account_1197,Asset,158714.34
2022,4,ACC102004,Account_2004,Revenue,428032.98
2020,7,ACC100815,Account_815,Expense,139300.58
2021,10,ACC100865,Account_865,Asset,54150.28
2023,2,ACC100456,Account_456,Liability,227098.92
2023,5,ACC102276,Account_2276,Liability,17070.86
2022,4,ACC102145,Account_2145,Revenue,336450.59
2020,3,ACC100915,Account_915,Expense,276922.28
2022,11,ACC101817,Account_1817,Equity,194413.14
2023,2,ACC101837,Account_1837,Expense,67423.55
2023,7,ACC102886,Account_2886,Asset,444456.29
2022,6,ACC101912,Account_1912,Liability,125051.45
2020,5,ACC102719,Account_2719,Asset,119705.74
2020,9,ACC102354,Account_2354,Liability,118350.7
2023,10,ACC101879,Account_1879,Liability,200496.43
2021,12,ACC102267,Account_2267,Asset,108907.02
2023,6,ACC102208,Account_2208,Equity,285194.22
2020,11,ACC102168,Account_2168,Equity,7382.08
2023,11,ACC101992,Account_1992,Equity,125997.3
2023,9,ACC101435,Account_1435,Revenue,486566.12
2021,10,ACC102758,Account_2758,Asset,493141.13
2023,9,ACC101936,Account_1936,Revenue,352430.66
2022,8,ACC101435,Account_1435,Revenue,113204.76
2021,6,ACC102238,Account_2238,Expense,92900.08
2022,10,ACC102315,Account_2315,Equity,204296.02
2022,3,ACC102273,Account_2273,Asset,150378.53
2022,4,ACC100083,Account_83,Expense,175943.01
2020,1,ACC100499,Account_499,Revenue,200178.92
2022,8,ACC102755,Account_2755,Equity,353392.86
2022,1,ACC101932,Account_1932,Liability,220126.6
2020,4,ACC101010,Account_1010,Liability,279503.36
2021,4,ACC102602,Account_2602,Revenue,236238.95
2023,3,ACC100152,Account_152,Liability,376390.62
2021,9,ACC101697,Account_1697,Revenue,199443.8
2022,4,ACC102429,Account_2429,Equity,144790.88
2022,4,ACC101522,Account_1522,Expense,371653.21
2021,8,ACC101137,Account_1137,Asset,22761.6
2023,10,ACC102814,Account_2814,Equity,58805.16
2021,5,ACC100051,Account_51,Expense,424590.95
2022,7,ACC100805,Account_805,Equity,434753.14
2020,10,ACC101650,Account_1650,Equity,374036.24
2022,6,ACC101410,Account_1410,Equity,60819.8
2020,8,ACC101033,Account_1033,Expense,297863.54
2023,5,ACC100109,Account_109,Revenue,49124.62
2020,3,ACC100027,Account_27,Equity,172989.57
2020,5,ACC101630,Account_1630,Revenue,132202.7
2022,3,ACC101397,Account_1397,Asset,324988.11
2020,8,ACC101512,Account_1512,Expense,85037.78
2021,3,ACC100804,Account_804,Liability,396921.44
2023,4,ACC102856,Account_2856,Revenue,353957.1
2020,7,ACC102214,Account_2214,Expense,272539.23
2023,1,ACC100297,Account_297,Expense,343761.44
2020,11,ACC101858,Account_1858,Revenue,299373.59
2022,9,ACC101792,Account_1792,Asset,39600.34
2020,9,ACC100308,Account_308,Expense,115737.94
2022,1,ACC101014,Account_1014,Asset,456977.9
2022,10,ACC100761,Account_761,Equity,138383.32
2021,2,ACC100454,Account_454,Equity,135578.18
2023,2,ACC100406,Account_406,Revenue,394898.64
2020,11,ACC102583,Account_2583,Liability,257510.13
2023,5,ACC101052,Account_1052,Expense,449771.16
2021,11,ACC100147,Account_147,Equity,85514.73
2021,5,ACC100690,Account_690,Liability,127288.17
2020,10,ACC100668,Account_668,Revenue,385764.38
2020,6,ACC102962,Account_2962,Liability,268952.75
2022,1,ACC100920,Account_920,Asset,93144.34
2020,9,ACC102736,Account_2736,Equity,333202.13
2022,5,ACC102282,Account_2282,Asset,335001.6
2020,1,ACC102092,Account_2092,Equity,72279.8
2020,9,ACC100437,Account_437,Equity,172999.68
2021,6,ACC100351,Account_351,Asset,294221.1
2022,11,ACC101726,Account_1726,Asset,358361.2
2020,1,ACC102552,Account_2552,Equity,328815.68
2021,1,ACC102255,Account_2255,Asset,462174.23
2020,6,ACC100903,Account_903,Equity,258568.84
2022,5,ACC102173,Account_2173,Asset,236675.68
2024,1,ACC100752,Account_752,Asset,231637.88
2022,10,ACC101994,Account_1994,Revenue,47438.17
2023,6,ACC102303,Account_2303,Equity,293999.08
2021,1,ACC100730,Account_730,Liability,68787.33
2023,3,ACC102877,Account_2877,Equity,432777.2
2020,9,ACC101922,Account_1922,Asset,316937.58
2020,5,ACC101047,Account_1047,Expense,131170.8
2023,3,ACC100727,Account_727,Equity,74967.14
2020,5,ACC102965,Account_2965,Expense,122638.57
2023,12,ACC100629,Account_629,Revenue,104772.2
2022,5,ACC100031,Account_31,Liability,326739.86
2023,3,ACC102125,Account_2125,Equity,328965.4
2022,3,ACC100119,Account_119,Equity,149237.67
2021,10,ACC102197,Account_2197,Asset,165403.01
2021,2,ACC102746,Account_2746,Asset,423697.76
2023,5,ACC100548,Account_548,Expense,64987.01
2022,3,ACC100759,Account_759,Equity,100220.25
2023,1,ACC100027,Account_27,Equity,389065.47
2024,2,ACC101143,Account_1143,Expense,437125.65
2020,9,ACC100854,Account_854,Revenue,119374.52
2022,8,ACC101442,Account_1442,Equity,182025.53
2021,10,ACC102878,Account_2878,Asset,196951.17
2022,4,ACC102905,Account_2905,Asset,352784.55
2020,1,ACC100566,Account_566,Expense,303085.81
2023,3,ACC101027,Account_1027,Equity,271977.78
2023,6,ACC100116,Account_116,Asset,309484.45
2021,3,ACC100949,Account_949,Revenue,486287.34
2023,11,ACC102974,Account_2974,Liability,243356.55
2021,12,ACC101062,Account_1062,Liability,48753.57
2023,8,ACC100198,Account_198,Liability,482134.97
2021,7,ACC102834,Account_2834,Revenue,357797.33
2022,4,ACC100367,Account_367,Revenue,73654.31
2022,5,ACC101719,Account_1719,Expense,248461.36
2023,9,ACC101638,Account_1638,Expense,419696.31
2024,2,ACC100153,Account_153,Equity,92756.6
2020,9,ACC100145,Account_145,Revenue,380967.86
2021,7,ACC101869,Account_1869,Asset,50375.01
2020,7,ACC100112,Account_112,Asset,242702.81
2020,3,ACC101654,Account_1654,Asset,314960.6
2021,12,ACC100841,Account_841,Liability,216312.31
2023,1,ACC101385,Account_1385,Equity,60042.43
2020,7,ACC102927,Account_2927,Revenue,64131.34
2020,6,ACC101953,Account_1953,Liability,415955.38
2021,5,ACC102873,Account_2873,Expense,493765.46
2020,8,ACC100907,Account_907,Expense,299020.74
2022,11,ACC101838,Account_1838,Expense,319587.5
2021,4,ACC100102,Account_102,Revenue,363634.94
2023,3,ACC102448,Account_2448,Expense,272521.45
2020,1,ACC101398,Account_1398,Liability,417825.62
2021,8,ACC102153,Account_2153,Asset,261420.89
2023,6,ACC100328,Account_328,Asset,65560.43
2022,12,ACC101593,Account_1593,Revenue,447243.89
