Transaction_ID,Account_ID,Transaction_Date,Transaction_Type,Amount,Department,Region,Description
TRX200071,ACC102062,2020-09-22,Debit,442012.62,Finance,West,Financial entry 71
TRX200072,ACC100152,2020-01-03,Debit,43308.46,IT,North,Financial entry 72
TRX200073,ACC101921,2021-05-11,Debit,104315.89,IT,West,Financial entry 73
TRX200074,ACC101199,2020-07-29,Debit,430537.1,IT,South,Financial entry 74
TRX200075,ACC101700,2022-09-10,Credit,355441.31,Support,North,Financial entry 75
TRX200076,ACC100896,2021-06-30,Credit,112516.31,IT,South,Financial entry 76
TRX200077,ACC102902,2021-05-25,Credit,298596.86,IT,Central,Financial entry 77
TRX200078,ACC102397,2022-11-25,Debit,42533.18,IT,North,Financial entry 78
TRX200079,ACC100020,2023-09-17,Credit,320273.43,Finance,North,Financial entry 79
TRX200080,ACC100690,2021-05-12,Debit,127288.17,IT,Central,Financial entry 80
TRX200081,ACC102207,2021-02-05,Debit,227922.49,Finance,North,Financial entry 81
TRX200082,ACC102857,2023-04-06,Debit,47766.23,Sales,North,Financial entry 82
TRX200083,ACC100712,2022-09-16,Credit,464767.56,Sales,West,Financial entry 83
TRX200084,ACC102899,2022-05-01,Credit,284388.67,Support,West,Financial entry 84
TRX200085,ACC101251,2020-08-28,Credit,34138.0,IT,West,Financial entry 85
TRX200086,ACC100555,2021-01-12,Debit,391977.67,Sales,South,Financial entry 86
TRX200087,ACC100599,2023-02-15,Credit,178780.41,Finance,South,Financial entry 87
TRX200088,ACC102870,2021-04-08,Credit,398135.27,Finance,West,Financial entry 88
TRX200089,ACC100214,2022-06-21,Credit,196740.3,Operations,South,Financial entry 89
TRX200090,ACC102226,2020-08-29,Credit,439769.06,Sales,West,Financial entry 90
TRX200091,ACC101030,2023-01-12,Credit,351795.98,Sales,Central,Financial entry 91
TRX200092,ACC102713,2020-10-24,Credit,112559.38,IT,East,Financial entry 92
TRX200093,ACC101777,2022-06-18,Debit,199883.93,Operations,South,Financial entry 93
TRX200094,ACC102730,2020-06-07,Debit,452750.13,Finance,East,Financial entry 94
TRX200095,ACC102539,2020-10-15,Credit,82580.49,HR,North,Financial entry 95
TRX200096,ACC102454,2020-12-14,Debit,100544.5,Support,Central,Financial entry 96
TRX200097,ACC100854,2023-01-13,Credit,296129.44,IT,North,Financial entry 97
TRX200098,ACC102800,2021-05-29,Debit,419106.82,Operations,North,Financial entry 98
TRX200099,ACC102341,2023-09-15,Credit,207814.14,Sales,Central,Financial entry 99
TRX200100,ACC102632,2023-05-27,Debit,445663.58,Sales,North,Financial entry 100
TRX200101,ACC100269,2021-06-15,Debit,19094.99,HR,South,Financial entry 101
TRX200102,ACC102712,2022-02-02,Debit,185231.8,Sales,West,Financial entry 102
TRX200103,ACC101551,2022-05-21,Credit,159346.33,IT,South,Financial entry 103
TRX200104,ACC100659,2021-02-18,Debit,330021.27,Operations,Central,Financial entry 104
TRX200105,ACC100629,2023-12-12,Credit,104772.2,Support,East,Financial entry 105
TRX200106,ACC100650,2020-08-21,Credit,354510.41,IT,West,Financial entry 106
TRX200107,ACC101690,2023-05-03,Credit,158811.46,Sales,South,Financial entry 107
TRX200108,ACC100437,2022-02-05,Debit,251992.54,Operations,South,Financial entry 108
TRX200109,ACC101858,2020-11-08,Debit,299373.59,Finance,East,Financial entry 109
TRX200110,ACC101869,2021-04-11,Credit,183591.98,Sales,North,Financial entry 110
TRX200111,ACC101709,2020-06-04,Credit,133992.9,Sales,Central,Financial entry 111
TRX200112,ACC102387,2020-10-31,Credit,231208.5,Finance,North,Financial entry 112
TRX200113,ACC100622,2021-04-17,Credit,104015.57,Sales,East,Financial entry 113
TRX200114,ACC100993,2022-06-06,Debit,209298.21,Sales,Central,Financial entry 114
TRX200115,ACC100315,2023-12-30,Debit,488754.67,HR,Central,Financial entry 115
TRX200116,ACC101440,2023-11-09,Credit,389171.62,Sales,Central,Financial entry 116
TRX200117,ACC102425,2021-03-18,Debit,348745.28,Operations,South,Financial entry 117
TRX200118,ACC102674,2020-03-12,Debit,80875.38,IT,South,Financial entry 118
TRX200119,ACC100387,2020-02-17,Debit,297450.52,Operations,North,Financial entry 119
TRX200120,ACC102503,2023-09-11,Debit,394438.69,Finance,West,Financial entry 120
TRX200121,ACC102744,2023-12-12,Debit,102019.5,Operations,Central,Financial entry 121
TRX200122,ACC101906,2021-03-26,Credit,44934.79,Finance,East,Financial entry 122
TRX200123,ACC100399,2023-04-02,Debit,289952.27,IT,North,Financial entry 123
TRX200124,ACC101444,2020-12-29,Debit,453023.23,Finance,West,Financial entry 124
TRX200125,ACC100198,2023-08-09,Credit,482134.97,Operations,South,Financial entry 125
TRX200126,ACC102390,2023-11-21,Debit,38604.49,Support,Central,Financial entry 126
TRX200127,ACC102556,2020-08-20,Credit,394773.73,Finance,South,Financial entry 127
TRX200128,ACC101936,2023-09-04,Credit,352430.66,Sales,West,Financial entry 128
TRX200129,ACC101050,2020-11-27,Credit,78680.5,IT,North,Financial entry 129
TRX200130,ACC102821,2022-12-25,Credit,78099.12,Operations,East,Financial entry 130
TRX200131,ACC100225,2021-10-11,Credit,6509.74,IT,South,Financial entry 131
TRX200132,ACC102250,2022-01-10,Debit,1689.89,IT,North,Financial entry 132
TRX200133,ACC102896,2022-12-09,Debit,228882.06,Finance,West,Financial entry 133
TRX200134,ACC102795,2020-02-15,Credit,305137.66,IT,South,Financial entry 134
TRX200135,ACC101175,2022-09-17,Credit,225265.71,Finance,Central,Financial entry 135
TRX200136,ACC102691,2021-12-19,Credit,154725.95,HR,Central,Financial entry 136
TRX200137,ACC101088,2020-06-13,Credit,326858.61,Finance,West,Financial entry 137
TRX200138,ACC100156,2022-07-26,Credit,255422.96,Operations,East,Financial entry 138
TRX200139,ACC101562,2020-02-07,Debit,56095.54,HR,West,Financial entry 139
TRX200140,ACC101097,2021-09-11,Debit,433958.98,IT,East,Financial entry 140
TRX200141,ACC102857,2022-05-27,Debit,4958.02,HR,South,Financial entry 141
TRX200142,ACC100668,2020-10-10,Credit,385764.38,HR,South,Financial entry 142
TRX200143,ACC101458,2023-03-25,Credit,115479.08,Support,South,Financial entry 143
TRX200144,ACC101522,2022-04-07,Debit,371653.21,Support,East,Financial entry 144
TRX200145,ACC100540,2022-04-20,Debit,211745.8,Sales,West,Financial entry 145
TRX200146,ACC101853,2022-10-03,Debit,433424.52,Finance,East,Financial entry 146
TRX200147,ACC100407,2023-12-25,Credit,113856.69,Sales,West,Financial entry 147
TRX200148,ACC102758,2020-09-11,Credit,110754.95,HR,East,Financial entry 148
TRX200149,ACC101968,2024-02-09,Credit,50519.32,Sales,South,Financial entry 149
TRX200150,ACC102956,2021-09-09,Credit,463669.67,Operations,East,Financial entry 150
TRX200151,ACC100563,2020-08-22,Credit,25584.38,Operations,East,Financial entry 151
TRX200152,ACC100897,2020-11-10,Debit,302932.8,Finance,West,Financial entry 152
TRX200153,ACC101028,2022-04-20,Credit,365823.23,Operations,East,Financial entry 153
TRX200154,ACC100031,2022-05-24,Debit,326739.86,Support,North,Financial entry 154
TRX200155,ACC101443,2020-01-04,Debit,40465.8,Support,North,Financial entry 155
TRX200156,ACC102270,2023-07-09,Debit,298296.09,Finance,Central,Financial entry 156
TRX200157,ACC100333,2021-10-23,Credit,375021.43,Support,Central,Financial entry 157
TRX200158,ACC100986,2022-05-21,Debit,262910.86,Finance,East,Financial entry 158
TRX200159,ACC101389,2023-08-24,Credit,429562.36,Sales,South,Financial entry 159
TRX200160,ACC100785,2022-05-26,Debit,274724.98,Operations,South,Financial entry 160
TRX200161,ACC101513,2023-02-17,Credit,167275.51,HR,Central,Financial entry 161
TRX200162,ACC102312,2023-05-06,Debit,248207.67,IT,North,Financial entry 162
TRX200163,ACC102395,2023-02-12,Debit,355152.12,Sales,East,Financial entry 163
TRX200164,ACC100176,2023-08-29,Credit,261382.15,Sales,North,Financial entry 164
TRX200165,ACC101792,2022-09-01,Credit,39600.34,IT,West,Financial entry 165
TRX200166,ACC100994,2021-01-11,Debit,443055.01,IT,West,Financial entry 166
TRX200167,ACC101111,2022-08-15,Credit,394864.09,Sales,South,Financial entry 167
TRX200168,ACC101396,2021-02-21,Credit,125996.1,IT,West,Financial entry 168
TRX200169,ACC100598,2020-02-16,Debit,84005.85,Finance,South,Financial entry 169
TRX200170,ACC101406,2022-10-15,Credit,61104.49,Support,South,Financial entry 170
TRX200171,ACC100502,2023-05-08,Credit,314648.55,Finance,Central,Financial entry 171
TRX200172,ACC100533,2023-05-19,Credit,181177.5,Finance,Central,Financial entry 172
TRX200173,ACC101350,2020-07-09,Debit,337037.35,Sales,North,Financial entry 173
TRX200174,ACC101553,2020-04-23,Credit,47142.22,Support,North,Financial entry 174
TRX200175,ACC101114,2021-09-02,Credit,304483.17,HR,Central,Financial entry 175
TRX200176,ACC101463,2023-11-29,Credit,47899.41,Support,East,Financial entry 176
TRX200177,ACC100234,2024-01-18,Debit,64268.56,Sales,East,Financial entry 177
TRX200178,ACC101170,2023-07-07,Credit,200346.92,HR,South,Financial entry 178
TRX200179,ACC100035,2021-10-11,Credit,181309.4,Operations,North,Financial entry 179
TRX200180,ACC102794,2023-06-27,Debit,261579.87,Finance,North,Financial entry 180
TRX200181,ACC101904,2023-04-30,Credit,274075.4,Finance,South,Financial entry 181
TRX200182,ACC101731,2023-07-02,Debit,199640.93,Sales,East,Financial entry 182
TRX200183,ACC102953,2021-12-28,Debit,4467.82,Support,Central,Financial entry 183
TRX200184,ACC101912,2022-06-04,Credit,125051.45,Sales,South,Financial entry 184
TRX200185,ACC101239,2022-07-31,Credit,353824.29,Finance,North,Financial entry 185
TRX200186,ACC101130,2022-08-14,Credit,452679.16,Finance,East,Financial entry 186
TRX200187,ACC101034,2020-01-14,Credit,62456.98,HR,South,Financial entry 187
TRX200188,ACC102528,2023-08-22,Debit,35609.64,Finance,Central,Financial entry 188
TRX200189,ACC101182,2020-06-08,Credit,114553.95,Support,East,Financial entry 189
TRX200190,ACC100841,2022-05-21,Credit,39620.99,HR,North,Financial entry 190
TRX200191,ACC100778,2023-10-15,Credit,300448.24,HR,West,Financial entry 191
TRX200192,ACC101190,2020-04-25,Debit,239885.92,Finance,South,Financial entry 192
TRX200193,ACC102414,2020-12-21,Debit,143902.76,Sales,West,Financial entry 193
TRX200194,ACC100944,2020-05-13,Credit,298528.88,IT,West,Financial entry 194
TRX200195,ACC100581,2023-11-22,Debit,233809.98,HR,East,Financial entry 195
TRX200196,ACC101657,2023-04-16,Debit,295775.17,Operations,South,Financial entry 196
TRX200197,ACC101046,2020-01-13,Debit,463806.16,Operations,South,Financial entry 197
TRX200198,ACC101996,2020-11-15,Credit,272540.18,Operations,West,Financial entry 198
TRX200199,ACC101137,2021-08-30,Debit,22761.6,IT,East,Financial entry 199
TRX200200,ACC102809,2021-08-06,Credit,250371.67,Sales,Central,Financial entry 200
TRX200201,ACC102276,2023-01-07,Credit,202480.02,Sales,North,Financial entry 201
TRX200202,ACC102957,2023-01-16,Credit,407940.5,Operations,Central,Financial entry 202
TRX200203,ACC100689,2020-02-05,Debit,462304.24,HR,West,Financial entry 203
TRX200204,ACC100874,2020-10-13,Credit,352722.9,Sales,West,Financial entry 204
TRX200205,ACC100716,2020-03-09,Credit,426217.77,Support,West,Financial entry 205
TRX200206,ACC100361,2023-04-01,Debit,229925.98,Sales,East,Financial entry 206
TRX200207,ACC100399,2022-05-09,Credit,82104.33,Support,Central,Financial entry 207
TRX200208,ACC100172,2023-11-02,Debit,469803.75,Operations,Central,Financial entry 208
TRX200209,ACC100505,2023-03-06,Debit,98807.08,HR,Central,Financial entry 209
TRX200210,ACC102052,2020-07-25,Debit,192995.85,Support,West,Financial entry 210
TRX200211,ACC102132,2024-01-25,Debit,101653.09,IT,North,Financial entry 211
TRX200212,ACC101501,2022-04-28,Debit,49725.35,Support,Central,Financial entry 212
TRX200213,ACC100941,2021-04-23,Credit,163809.16,Finance,East,Financial entry 213
TRX200214,ACC101082,2020-04-29,Credit,403873.87,Finance,West,Financial entry 214
TRX200215,ACC102102,2021-05-14,Debit,409978.56,Operations,South,Financial entry 215
TRX200216,ACC100242,2023-06-15,Debit,151414.79,Operations,West,Financial entry 216
TRX200217,ACC101262,2020-07-12,Credit,279583.53,Support,Central,Financial entry 217
TRX200218,ACC102591,2021-07-06,Debit,373878.22,Finance,South,Financial entry 218
TRX200219,ACC101980,2021-08-27,Debit,163698.34,Operations,Central,Financial entry 219
TRX200220,ACC100244,2023-11-26,Credit,104942.4,Support,Central,Financial entry 220
TRX200221,ACC100734,2020-01-08,Debit,418308.4,HR,North,Financial entry 221
TRX200222,ACC100637,2020-01-15,Debit,287494.07,Support,East,Financial entry 222
TRX200223,ACC100880,2021-03-15,Credit,92002.06,Support,Central,Financial entry 223
TRX200224,ACC102082,2020-09-25,Debit,250528.91,Sales,North,Financial entry 224
TRX200225,ACC101879,2020-09-10,Credit,268733.82,IT,South,Financial entry 225
TRX200226,ACC102062,2023-05-23,Credit,293091.16,Sales,East,Financial entry 226
TRX200227,ACC100665,2022-04-06,Debit,158450.76,HR,North,Financial entry 227
TRX200228,ACC100811,2020-09-11,Credit,388573.7,Finance,Central,Financial entry 228
TRX200229,ACC102779,2024-01-01,Credit,96182.94,Operations,South,Financial entry 229
TRX200230,ACC101718,2022-02-25,Debit,89258.65,Sales,South,Financial entry 230
TRX200231,ACC101817,2021-05-17,Credit,31654.26,Sales,Central,Financial entry 231
TRX200232,ACC101032,2021-05-06,Debit,130864.51,IT,West,Financial entry 232
TRX200233,ACC102142,2021-01-28,Debit,267301.83,HR,North,Financial entry 233
TRX200234,ACC100131,2023-06-06,Debit,282707.27,HR,East,Financial entry 234
TRX200235,ACC101718,2020-06-21,Debit,302068.55,HR,North,Financial entry 235
TRX200236,ACC101016,2022-07-22,Debit,19147.35,Operations,East,Financial entry 236
TRX200237,ACC101955,2021-07-21,Debit,402853.65,Support,North,Financial entry 237
TRX200238,ACC102544,2023-12-01,Debit,86903.6,Finance,Central,Financial entry 238
TRX200239,ACC100642,2024-01-22,Credit,385023.53,Finance,Central,Financial entry 239
TRX200240,ACC101460,2023-06-13,Debit,40823.13,Finance,West,Financial entry 240
TRX200241,ACC100598,2021-01-31,Credit,386128.53,Support,Central,Financial entry 241
TRX200242,ACC102887,2022-01-02,Credit,197525.34,Support,West,Financial entry 242
TRX200243,ACC101912,2022-10-26,Debit,283149.2,HR,South,Financial entry 243
TRX200244,ACC100741,2023-02-19,Credit,471939.02,Support,West,Financial entry 244
TRX200245,ACC100090,2020-07-22,Credit,497455.55,HR,South,Financial entry 245
TRX200246,ACC102520,2020-08-14,Debit,85907.55,Finance,East,Financial entry 246
TRX200247,ACC100109,2020-12-22,Debit,223603.57,Operations,North,Financial entry 247
TRX200248,ACC101861,2020-03-07,Debit,370940.11,Support,North,Financial entry 248
TRX200249,ACC101001,2022-08-03,Credit,262510.1,IT,Central,Financial entry 249
TRX200250,ACC101129,2021-05-31,Credit,239903.97,Support,East,Financial entry 250
TRX200251,ACC100781,2023-09-11,Debit,357929.01,HR,East,Financial entry 251
TRX200252,ACC101047,2022-08-09,Debit,386482.87,Finance,South,Financial entry 252
TRX200253,ACC102954,2022-11-03,Debit,358233.27,Sales,East,Financial entry 253
TRX200254,ACC101862,2023-12-20,Debit,421354.23,Support,South,Financial entry 254
TRX200255,ACC102396,2021-03-17,Credit,224050.8,HR,North,Financial entry 255
TRX200256,ACC101760,2021-09-21,Credit,250106.59,Finance,South,Financial entry 256
TRX200257,ACC100931,2021-03-14,Credit,43864.55,HR,South,Financial entry 257
TRX200258,ACC101371,2020-10-23,Credit,10264.37,HR,West,Financial entry 258
TRX200259,ACC100109,2021-11-30,Credit,441753.42,HR,East,Financial entry 259
TRX200260,ACC100096,2022-10-15,Debit,149015.68,Sales,North,Financial entry 260
TRX200261,ACC101146,2023-10-12,Credit,208068.32,Operations,South,Financial entry 261
TRX200262,ACC102831,2022-11-02,Debit,364040.88,Sales,Central,Financial entry 262
TRX200263,ACC100614,2020-12-08,Credit,390598.9,HR,North,Financial entry 263
TRX200264,ACC101029,2020-02-12,Credit,11808.52,Operations,North,Financial entry 264
TRX200265,ACC101122,2024-01-11,Debit,495571.56,IT,West,Financial entry 265
TRX200266,ACC100947,2023-10-10,Credit,348209.78,Finance,West,Financial entry 266
TRX200267,ACC102706,2020-10-30,Debit,280461.67,IT,West,Financial entry 267
TRX200268,ACC100211,2023-09-23,Credit,446248.65,Operations,South,Financial entry 268
TRX200269,ACC101103,2023-11-16,Credit,493613.84,Finance,North,Financial entry 269
TRX200270,ACC101239,2022-02-07,Credit,328956.93,Operations,West,Financial entry 270
TRX200271,ACC100454,2020-04-01,Debit,456418.18,Sales,North,Financial entry 271
TRX200272,ACC102001,2023-04-25,Debit,449206.34,IT,North,Financial entry 272
TRX200273,ACC101127,2022-10-27,Debit,369188.62,HR,East,Financial entry 273
TRX200274,ACC100386,2020-09-14,Credit,260062.15,HR,North,Financial entry 274
TRX200275,ACC102983,2023-11-28,Debit,72282.98,Support,South,Financial entry 275
TRX200276,ACC101206,2023-03-18,Credit,461367.67,Sales,West,Financial entry 276
TRX200277,ACC101565,2020-09-07,Debit,152216.48,Operations,East,Financial entry 277
TRX200278,ACC100125,2020-01-01,Credit,390107.65,Finance,Central,Financial entry 278
TRX200279,ACC102613,2022-06-09,Debit,189767.28,Finance,East,Financial entry 279
TRX200280,ACC101283,2020-06-03,Credit,214799.19,IT,West,Financial entry 280
TRX200281,ACC102655,2021-02-02,Credit,283957.06,HR,Central,Financial entry 281
TRX200282,ACC102187,2020-02-18,Credit,275621.21,IT,Central,Financial entry 282
TRX200283,ACC102480,2021-07-01,Debit,382936.85,Support,Central,Financial entry 283
TRX200284,ACC100421,2020-08-06,Credit,227497.6,Finance,East,Financial entry 284
TRX200285,ACC102961,2022-12-17,Credit,316607.94,HR,Central,Financial entry 285
TRX200286,ACC102565,2023-01-11,Debit,462996.23,HR,Central,Financial entry 286
TRX200287,ACC101613,2021-02-05,Debit,94706.27,Support,South,Financial entry 287
TRX200288,ACC101686,2020-07-06,Credit,324768.57,Support,West,Financial entry 288
TRX200289,ACC101881,2021-03-12,Debit,68505.27,Finance,North,Financial entry 289
TRX200290,ACC101333,2022-03-02,Debit,123551.34,IT,South,Financial entry 290
TRX200291,ACC102016,2021-02-24,Debit,154704.86,Operations,East,Financial entry 291
TRX200292,ACC100248,2020-05-30,Debit,261537.04,HR,North,Financial entry 292
TRX200293,ACC101207,2023-07-24,Debit,340633.2,HR,East,Financial entry 293
TRX200294,ACC100454,2021-06-15,Credit,274381.61,Support,West,Financial entry 294
TRX200295,ACC102424,2023-01-17,Credit,91650.52,Finance,Central,Financial entry 295
TRX200296,ACC101863,2021-02-25,Credit,416312.72,HR,Central,Financial entry 296
TRX200297,ACC102980,2022-01-16,Debit,432606.75,Finance,Central,Financial entry 297
TRX200298,ACC102745,2022-06-29,Credit,349145.6,Operations,East,Financial entry 298
TRX200299,ACC101421,2021-07-16,Credit,112380.99,Sales,South,Financial entry 299
TRX200300,ACC102613,2020-10-23,Credit,183151.78,HR,North,Financial entry 300
TRX200301,ACC102683,2023-08-29,Credit,53021.91,Sales,East,Financial entry 301
TRX200302,ACC100960,2020-03-31,Debit,240968.35,Sales,Central,Financial entry 302
TRX200303,ACC102309,2022-07-10,Credit,87246.77,Sales,West,Financial entry 303
TRX200304,ACC101343,2021-06-14,Credit,89959.0,Finance,West,Financial entry 304
TRX200305,ACC102204,2021-08-08,Credit,178056.63,IT,Central,Financial entry 305
TRX200306,ACC100221,2021-01-02,Debit,95347.57,Operations,West,Financial entry 306
TRX200307,ACC100799,2021-06-11,Credit,177620.13,IT,West,Financial entry 307
TRX200308,ACC102280,2020-08-12,Credit,202602.27,Operations,Central,Financial entry 308
TRX200309,ACC101871,2020-09-22,Debit,419723.31,Sales,South,Financial entry 309
TRX200310,ACC102083,2022-10-20,Credit,468029.72,Operations,East,Financial entry 310
TRX200311,ACC102055,2022-12-27,Credit,472952.93,Sales,North,Financial entry 311
TRX200312,ACC101621,2022-07-03,Debit,6695.5,Operations,East,Financial entry 312
TRX200313,ACC101872,2021-06-17,Credit,31208.55,Operations,South,Financial entry 313
TRX200314,ACC100306,2022-03-19,Debit,158149.68,Operations,East,Financial entry 314
TRX200315,ACC102588,2021-04-27,Debit,211723.93,Finance,Central,Financial entry 315
TRX200316,ACC100309,2021-04-30,Debit,39648.77,Sales,North,Financial entry 316
TRX200317,ACC102341,2020-11-12,Credit,418854.32,Finance,Central,Financial entry 317
TRX200318,ACC102050,2022-11-14,Credit,153313.64,IT,East,Financial entry 318
TRX200319,ACC100601,2020-10-14,Debit,308895.34,Finance,Central,Financial entry 319
TRX200320,ACC100406,2023-01-26,Credit,315617.41,Operations,Central,Financial entry 320
TRX200321,ACC101335,2021-03-27,Credit,189485.59,IT,West,Financial entry 321
TRX200322,ACC102522,2023-11-01,Debit,149740.78,Support,Central,Financial entry 322
TRX200323,ACC102848,2022-07-12,Credit,265729.24,IT,East,Financial entry 323
TRX200324,ACC102984,2020-05-13,Credit,256614.98,Operations,West,Financial entry 324
TRX200325,ACC102153,2021-08-04,Debit,261420.89,Operations,Central,Financial entry 325
TRX200326,ACC102962,2020-06-13,Debit,268952.75,Operations,West,Financial entry 326
TRX200327,ACC100524,2022-10-31,Debit,114692.51,Sales,West,Financial entry 327
TRX200328,ACC101779,2020-10-06,Credit,72413.8,IT,South,Financial entry 328
TRX200329,ACC100402,2021-05-07,Credit,313039.69,Finance,Central,Financial entry 329
TRX200330,ACC102107,2021-06-19,Debit,327637.53,Operations,West,Financial entry 330
TRX200331,ACC102457,2023-01-02,Credit,486248.87,Operations,North,Financial entry 331
TRX200332,ACC101637,2024-01-13,Credit,339386.21,IT,East,Financial entry 332
